#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
135,"gogle keyword planner",5,,,20,https://backlinko.com/google-keyword-planner,1.4,5550000,"2017-11-03 09:46:22",58,,
136,"keyword palnner",5,,,20,https://backlinko.com/google-keyword-planner,1.4,10800000,"2017-11-04 23:13:43",65,,
137,"google keyword planner tool tutorial",5,,,20,https://backlinko.com/google-keyword-planner,1.4,692000,"2017-10-28 13:52:46",31,,
138,"google keywords research",8,,,40,https://backlinko.com/google-keyword-planner,1.4,7050000,"2017-11-04 21:18:16",80,5.00,
139,"planner keyword",6,,,20,https://backlinko.com/google-keyword-planner,1.4,13300000,"2017-10-27 07:04:41",56,0.35,
140,"how to get to google keyword planner",4,,,10,https://backlinko.com/google-keyword-planner,1.4,10400000,"2017-10-19 15:42:37",47,,
141,"google adsense keyword planner",6,,,20,https://backlinko.com/google-keyword-planner,1.4,180000,"2017-09-29 19:03:47",55,,
142,"keyword planner tool google",6,7,"2017-09-13 22:27:28",20,https://backlinko.com/google-keyword-planner,1.3,2260000,"2017-11-05 13:42:30",62,2.50,
143,"google keyword planner tool 2016",4,,,10,https://backlinko.com/google-keyword-planner,1.3,3030000,"2017-10-31 08:38:47",41,,
144,"how to use keyword planner for seo",3,,,10,https://backlinko.com/google-keyword-planner,1.3,2450000,"2017-10-17 05:51:11",51,,
145,"how to use google keywords",6,,,20,https://backlinko.com/google-keyword-planner,1.3,54500000,"2017-09-20 21:53:46",28,4.00,
146,"google keywrod planner",5,,,20,https://backlinko.com/google-keyword-planner,1.3,5080000,"2017-09-23 00:00:37",50,,
147,"ad words keyword planner",7,,,30,https://backlinko.com/google-keyword-planner,1.2,870000,"2017-09-17 22:28:45",46,,
148,"google keword planner",5,,,20,https://backlinko.com/google-keyword-planner,1.2,5490000,"2017-11-05 19:44:20",58,,
